学年学期,课程代码,课程序号,课程名称,课程类别,学分,实验成绩,平时成绩,期末成绩,总评成绩,最终,绩点
2024-2025,2,07332260,07332260.03,数据库原理及应用实验,G实践教育平台,1,良好,良好,良好,3
2024-2025,2,07322060,07322060.02,数据库原理及应用Ⅰ,G学科基础教育平台,2.5,90,78,82,82,3.3
2024-2025,2,073180060,073180060.02,网络软件开发,G学科专业教育平台,2.5,85,90,96,93,93,4
